sample_id,country,location,year,month,latitude,longitude,sex_call,aim_species,taxon,2La,2Rb,2Rc,2Rd,2Rj,2Ru,rdl_gt
AB0085-Cx,Burkina Faso,Pala,2012,7,11.151,-4.235,F,gambiae,gambiae,2,2,0,0,0,0,A_G
AB0086-Cx,Burkina Faso,Pala,2012,7,11.151,-4.235,F,gambiae,gambiae,2,2,0,0,0,0,A_A
AB0096-C,Burkina Faso,Bana Village,2012,7,11.233,-4.472,F,gambiae,gambiae,2,2,0,0,0,0,A_G
AB0103-C,Burkina Faso,Bana Village,2012,7,11.233,-4.472,F,gambiae,gambiae,2,2,0,0,0,0,A_A
AB0104-Cx,Burkina Faso,Bana Village,2012,7,11.233,-4.472,F,gambiae,gambiae,2,2,0,0,0,0,A_G
AB0116-C,Burkina Faso,Bana Village,2012,7,11.233,-4.472,F,gambiae,gambiae,2,2,0,0,0,0,G_A
AB0117-C,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,1,2,0,0,0,0,G_A
AB0118-C,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,2,2,0,0,0,0,A_A
AB0119-C,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,2,2,0,0,0,0,G_A
AB0126-Cx,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,1,2,0,0,0,0,A_G
AB0127-C,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,2,2,0,0,0,0,G_G
AB0128-C,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,2,2,0,0,0,0,G_A
AB0129-C,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,2,1,0,0,0,0,A_G
AB0130-Cx,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,2,1,0,0,0,0,A_A
AB0133-C,Burkina Faso,Souroukoudinga,2012,7,11.238,-4.235,F,gambiae,gambiae,2,2,0,0,0,0,A_G
AB0134-C,Burkina Faso,Souroukoudinga,2012,7,11.238,-4.235,F,gambiae,gambiae,2,1,0,0,0,0,A_G
AB0135-C,Burkina Faso,Souroukoudinga,2012,7,11.238,-4.235,F,gambiae,gambiae,2,2,0,0,0,0,A_G
AB0136-Cx,Burkina Faso,Souroukoudinga,2012,7,11.238,-4.235,F,gambiae,gambiae,2,2,0,0,0,0,A_A
AB0143-Cx,Burkina Faso,Souroukoudinga,2012,7,11.238,-4.235,F,gambiae,gambiae,2,2,0,0,0,0,G_G
AB0144-C,Burkina Faso,Souroukoudinga,2012,7,11.238,-4.235,F,gambiae,gambiae,2,2,0,0,0,0,G_A
AB0145-C,Burkina Faso,Souroukoudinga,2012,7,11.238,-4.235,F,gambiae,gambiae,1,2,0,0,0,0,A_G
AB0146-Cx,Burkina Faso,Souroukoudinga,2012,7,11.238,-4.235,F,gambiae,gambiae,2,2,0,0,0,0,A_A
AB0147-C,Burkina Faso,Souroukoudinga,2012,7,11.238,-4.235,F,gambiae,gambiae,2,1,0,0,0,0,A_A
AB0148-Cx,Burkina Faso,Souroukoudinga,2012,7,11.238,-4.235,F,gambiae,gambiae,1,2,0,0,0,0,A_G
AB0150-Cx,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,2,2,0,0,0,0,G_G
AB0151-Cx,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,1,1,0,0,0,0,G_A
AB0153-C,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,1,1,0,0,0,0,A_A
AB0155-Cx,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,2,1,0,0,0,0,G_G
AB0157-Cx,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,1,1,0,0,0,0,A_G
AB0158-Cx,Burkina Faso,Bana Village,2012,7,11.233,-4.472,M,gambiae,gambiae,2,1,0,0,0,0,A_A
AB0293-C,Cameroon,Doulougou,2005,-1,10.425,14.242,F,gambiae,gambiae,2,2,0,0,0,0,G_A
AB0294-C,Cameroon,Doulougou,2005,-1,10.425,14.242,F,gambiae,gambiae,2,2,0,0,0,0,G_A
AB0295-C,Cameroon,Doulougou,2005,-1,10.425,14.242,F,gambiae,gambiae,2,2,0,0,0,0,G_A
AB0297-C,Cameroon,Moussourtouk,2005,-1,10.342,14.236,F,gambiae,gambiae,2,2,0,0,0,0,A_A
AC0089-Cx,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,1,1,0,0,0,0,A_A
AC0090-C,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,1,0,0,0,0,0,A_A
AC0091-Cx,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,1,1,0,0,0,0,A_A
AC0092-C,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,2,1,0,0,0,0,A_A
AC0093-C,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,1,0,0,0,0,0,A_A
AC0094-C,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,1,0,0,0,0,0,A_A
AC0095-C,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,2,0,0,0,0,0,A_A
AC0096-Cx,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,1,0,0,0,0,0,A_A
AC0097-C,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,2,1,0,0,0,0,A_A
AC0098-C,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,2,0,0,0,0,0,A_A
AC0099-C,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,0,0,0,0,0,0,A_A
AC0100-C,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,1,0,0,0,0,0,A_A
AC0101-C,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,1,0,0,0,0,0,A_A
AC0102-Cx,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,0,0,0,0,0,0,A_A
AC0103-Cx,Uganda,Nagongera,2012,10,0.77,34.026,F,gambiae,gambiae,2,0,0,0,0,0,A_A
